Start Date,2026-02-13 00:00:00
End Date,2026-02-13 23:59:59
Server Time,2026-02-13 17:29:32
Appliance,XGS2100
Firmware Version,SFOS 20.0.2 MR-2-Build378
Firmware Build,378
Device Serial Number,X2100674GQWD91A
Reports
	,Applications
	,Application Categories
	,Application Users
	,Hosts
	,Source Countries
	,Destination Countries
	,Allowed Policies
	,Web Categories
	,Web Users
	,Web Domains
	,Web Server Domains
	,File Uploaded via Web
	,Files Uploaded via FTP
	,Files Downloaded via FTP
	,FTP Servers
	,Mail Traffic Summary
	,Mail Senders
	,Mail Recipients
Criteria
None


Host,Bytes,Percent
192.168.1.190,13.19 GB,14.22 %
192.168.1.40,12.52 GB,13.5 %
10.10.1.67,12.11 GB,13.05 %
192.168.1.73,10.02 GB,10.81 %
Others,44.9 GB,48.39 %
