Start Date,2026-02-13 00:00:00
End Date,2026-02-13 23:59:59
Server Time,2026-02-13 17:29:33
Appliance,XGS2100
Firmware Version,SFOS 20.0.2 MR-2-Build378
Firmware Build,378
Device Serial Number,X2100674GQWD91A
Reports
	,Applications
	,Application Categories
	,Application Users
	,Hosts
	,Source Countries
	,Destination Countries
	,Allowed Policies
	,Web Categories
	,Web Users
	,Web Domains
	,Web Server Domains
	,File Uploaded via Web
	,Files Uploaded via FTP
	,Files Downloaded via FTP
	,FTP Servers
	,Mail Traffic Summary
	,Mail Senders
	,Mail Recipients
Criteria
None


Domain,Bytes,Percent
instagram.fnbo11-1.fna.fbcdn.net,8.87 GB,12.62 %
scontent.fnbo11-1.fna.fbcdn.net,8.62 GB,12.27 %
rr1---sn-wuapouxgoxu-ocvz.googlevideo.com,5.72 GB,8.14 %
media.fnbo12-1.fna.whatsapp.net,3.7 GB,5.27 %
Others,43.38 GB,60.35 %
